file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724380.fastq.gz	FASTQ	DNA	710265	1391822265	72	1959.6	216699	384	748	1659	0	5255	19359	71	47	14.04	45.07	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724371.fastq.gz	FASTQ	DNA	430478	809775978	72	1881.1	98251	342	769	2053	0	4436	12860	67	42	13.53	43.92	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724377.fastq.gz	FASTQ	DNA	402779	981651561	73	2437.2	199704	455	946	2236	0	6329	15754	71	46	14.25	44.64	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724373.fastq.gz	FASTQ	DNA	630732	897078523	75	1422.3	94132	366	689	1433	0	2771	13496	70	47	13.66	44.51	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724397.fastq.gz	FASTQ	DNA	343335	542835544	68	1581.1	141092	384	698	1428	0	3369	11726	70	46	13.74	44.25	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724381.fastq.gz	FASTQ	DNA	572476	1135968675	64	1984.3	159215	404	783	1752	0	5036	17251	71	47	14.12	44.87	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724386.fastq.gz	FASTQ	DNA	631296	1242197695	69	1967.7	184482	387	762	1736	0	5072	18118	69	45	13.94	44.89	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724412.fastq.gz	FASTQ	DNA	1264616	2405000493	81	1901.8	154337	542	975	2040	0	3525	18681	81	64	16.03	45.40	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724393.fastq.gz	FASTQ	DNA	378647	795877350	77	2101.9	166140	441	858	1928	0	5089	14243	71	47	14.15	45.15	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724395.fastq.gz	FASTQ	DNA	524713	1018753143	74	1941.5	162700	402	768	1715	0	4885	16246	70	46	14.03	44.79	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724413.fastq.gz	FASTQ	DNA	1279807	2158262145	71	1686.4	157536	501	857	1732	0	3126	17851	81	63	15.82	44.93	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724396.fastq.gz	FASTQ	DNA	547707	1046842359	68	1911.3	152242	361	711	1636	0	5199	16720	70	46	13.93	45.13	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724390.fastq.gz	FASTQ	DNA	666140	2126028977	78	3191.6	212715	475	1105	3262	0	8833	21537	71	46	14.56	45.80	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724392.fastq.gz	FASTQ	DNA	661981	2040817354	75	3082.9	153529	465	1008	2752	0	9462	22258	72	47	14.59	45.76	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724391.fastq.gz	FASTQ	DNA	727547	1798907083	75	2472.6	254018	471	960	2331	0	6374	20651	71	47	14.39	45.57	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724398.fastq.gz	FASTQ	DNA	563309	1246809934	71	2213.4	158245	418	815	1901	0	6133	18101	71	47	14.23	44.99	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724401.fastq.gz	FASTQ	DNA	408122	587965125	73	1440.7	123822	396	704	1392	0	2702	11598	70	47	13.69	44.33	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724400.fastq.gz	FASTQ	DNA	545559	1201774867	64	2202.8	388988	456	911	2105	0	5272	17067	70	45	14.04	46.18	0
