dataset	sample	engine	source	output	output_rows
Amaranthus_palmeri_longread	SRR16958690	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/cresil/genome/SRR16958690.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958690/SRR16958690.cresil.filtered.bed	39
Amaranthus_palmeri_longread	SRR16958690	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR16958690.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958690/SRR16958690.fled.filtered.bed	10
Amaranthus_palmeri_longread	SRR16958690	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/ecc_finder_slim/ont/ont_merge/SRR16958690.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958690/SRR16958690.eccfinder.filtered.bed	625
Amaranthus_palmeri_longread	SRR16958691	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/cresil/genome/SRR16958691.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958691/SRR16958691.cresil.filtered.bed	85
Amaranthus_palmeri_longread	SRR16958691	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR16958691.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958691/SRR16958691.fled.filtered.bed	56
Amaranthus_palmeri_longread	SRR16958691	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/ecc_finder_slim/ont/ont_merge/SRR16958691.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958691/SRR16958691.eccfinder.filtered.bed	237
Amaranthus_palmeri_longread	SRR16958692	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/cresil/genome/SRR16958692.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958692/SRR16958692.cresil.filtered.bed	2
Amaranthus_palmeri_longread	SRR16958692	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR16958692.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958692/SRR16958692.fled.filtered.bed	1
Amaranthus_palmeri_longread	SRR16958692	flye	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/REMAP_ASSEMBLED_CIRCLES/COLLAPSE_CIRCLE_ALIGNMENTS/SRR16958692.collapsed.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958692/SRR16958692.flye.filtered.bed	166
Amaranthus_palmeri_longread	SRR16958692	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/ecc_finder_slim/ont/ont_merge/SRR16958692.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Amaranthus_palmeri_longread/long_read/filtering/SRR16958692/SRR16958692.eccfinder.filtered.bed	234
Arabidopsis_thaliana_longread	SRR24335762	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/cresil/genome/SRR24335762.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/filtering/SRR24335762/SRR24335762.cresil.filtered.bed	4386
Arabidopsis_thaliana_longread	SRR24335762	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR24335762.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/filtering/SRR24335762/SRR24335762.fled.filtered.bed	5828
Arabidopsis_thaliana_longread	SRR24335762	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/ecc_finder_slim/ont/ont_merge/SRR24335762.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/filtering/SRR24335762/SRR24335762.eccfinder.filtered.bed	245
Arabidopsis_thaliana_longread	SRR24335764	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/cresil/genome/SRR24335764.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/filtering/SRR24335764/SRR24335764.cresil.filtered.bed	4776
Arabidopsis_thaliana_longread	SRR24335764	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR24335764.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/filtering/SRR24335764/SRR24335764.fled.filtered.bed	9427
Arabidopsis_thaliana_longread	SRR24335764	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/ecc_finder_slim/ont/ont_merge/SRR24335764.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/filtering/SRR24335764/SRR24335764.eccfinder.filtered.bed	377
Arabidopsis_thaliana_longread	SRR24335765	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/cresil/genome/SRR24335765.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/filtering/SRR24335765/SRR24335765.cresil.filtered.bed	1771
Arabidopsis_thaliana_longread	SRR24335765	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR24335765.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/filtering/SRR24335765/SRR24335765.fled.filtered.bed	257
Arabidopsis_thaliana_longread	SRR24335765	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/ecc_finder_slim/ont/ont_merge/SRR24335765.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/filtering/SRR24335765/SRR24335765.eccfinder.filtered.bed	667
Arabidopsis_thaliana_longread	SRR24693334	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/cresil/genome/SRR24693334.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/filtering/SRR24693334/SRR24693334.cresil.filtered.bed	2260
Arabidopsis_thaliana_longread	SRR24693334	fled	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/intermediate/NFCORE_CIRCDNA/CIRCDNA/FLED_PIPELINE/FLED_JUNCTION_TO_BED/SRR24693334.fled.bed	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/filtering/SRR24693334/SRR24693334.fled.filtered.bed	7079
Arabidopsis_thaliana_longread	SRR24693334	eccfinder	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/ecc_finder_slim/ont/ont_merge/SRR24693334.csv	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/filtering/SRR24693334/SRR24693334.eccfinder.filtered.bed	810
Arabidopsis_thaliana_longread	SRR24693335	cresil	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/cresil/genome/SRR24693335.eccDNA_final.txt	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana_longread/long_read/filtering/SRR24693335/SRR24693335.cresil.filtered.bed	5812
