task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
315	40/5da630	117581	SAMBLASTER_FIXED (ecc-ct-L2)	COMPLETED	0	2026-09-19 20:47:13.500	24m 6s	24m 2s	204.2%	559.9 MB	617 MB	150.4 GB	150.4 GB
305	8b/fff68d	92888	SAMBLASTER_FIXED (SRR5051136)	COMPLETED	0	2026-09-19 21:11:19.592	6.5s	5s	188.3%	11 MB	27.3 MB	538.1 MB	537.9 MB
297	7e/dd1406	93771	SAMBLASTER_FIXED (ERR1830505)	COMPLETED	0	2026-09-19 21:11:26.094	37.4s	36s	183.3%	29.6 MB	46.2 MB	3.6 GB	3.6 GB
308	24/15572d	98442	SAMBLASTER_FIXED (SRR5051137)	COMPLETED	0	2026-09-19 21:12:03.505	6.3s	5s	189.7%	12.1 MB	28.5 MB	532.1 MB	532 MB
306	86/7f0d0a	99271	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR5051136)	COMPLETED	0	2026-09-19 21:12:09.780	4.1s	3s	195.9%	4.6 MB	18.2 MB	91.6 MB	46.9 MB
316	ab/248c30	34660	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-ct-L2)	COMPLETED	0	2026-09-19 21:01:05.546	14m 4s	14m 1s	162.1%	4.7 MB	18.2 MB	30 GB	14.9 GB
298	41/3c0ad5	112212	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR1830505)	COMPLETED	0	2026-09-19 21:15:09.728	21.7s	20s	189.1%	4.7 MB	18.2 MB	692.8 MB	357.1 MB
324	d6/daaf9a	114381	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-dt4-L2)	COMPLETED	0	2026-09-19 21:15:31.488	15m 14s	15m 11s	171.9%	4.7 MB	18.2 MB	34.1 GB	19.3 GB
313	c0/0ad16d	99882	SAMBLASTER_FIXED (ecc-ct-L1)	COMPLETED	0	2026-09-19 21:12:13.914	33m 53s	33m 50s	202.7%	676.2 MB	769 MB	207.2 GB	207.1 GB
307	f9/e6ab9f	59056	BEDTOOLS_SORTEDBAM2BED_FIXED (SRR5051137)	COMPLETED	0	2026-09-19 21:46:07.213	4.2s	4s	184.8%	4.6 MB	18.2 MB	91 MB	50.1 MB
314	91/3c0cc5	31130	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-ct-L1)	COMPLETED	0	2026-09-19 21:30:45.955	19m 24s	19m 21s	165.3%	4.7 MB	18.2 MB	41.2 GB	20.7 GB
327	fe/d460d5	103014	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-dt4-R2)	COMPLETED	0	2026-09-19 21:50:10.406	22m 31s	22m 29s	165.6%	4.7 MB	18.2 MB	45.7 GB	20.7 GB
328	ca/db51ca	60059	SAMBLASTER_FIXED (ecc-dt4-R2)	COMPLETED	0	2026-09-19 21:46:11.382	38m 14s	38m 11s	192.2%	732.6 MB	845.2 MB	241 GB	240.9 GB
323	dd/2deb30	89007	SAMBLASTER_FIXED (ecc-dt4-L2)	COMPLETED	0	2026-09-19 22:12:41.219	26m 12s	26m 9s	195.9%	824.6 MB	922.8 MB	162.3 GB	162.3 GB
329	84/548377	65373	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-ct-L1)	COMPLETED	0	2026-09-19 22:38:53.019	18m 42s	18m 39s	165.1%	4.7 MB	18.2 MB	40.9 GB	21.5 GB
330	76/d20d32	13763	SAMBLASTER_FIXED (ecc-ct-L1)	COMPLETED	0	2026-09-19 22:24:25.302	34m 8s	34m 4s	198.5%	652.9 MB	754.6 MB	206.8 GB	206.8 GB
351	90/e38bc3	10608	BEDTOOLS_SORTEDBAM2BED_FIXED (CRR1082980)	COMPLETED	0	2026-09-19 22:58:32.887	14m 4s	14m 1s	159.4%	4.7 MB	18.2 MB	20.8 GB	12.9 GB
335	47/10db65	5194	SAMBLASTER_FIXED (ecc-ct-R2)	COMPLETED	0	2026-09-19 22:57:35.058	35m 50s	35m 47s	190.7%	613.8 MB	665 MB	213.4 GB	213.3 GB
334	5a/fbcc27	74412	SAMBLASTER_FIXED (ecc-ct-R1)	COMPLETED	0	2026-09-19 23:12:36.858	27m 22s	27m 18s	197.8%	714.8 MB	797.8 MB	168.9 GB	168.9 GB
333	67/b91f95	29651	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-ct-R1)	COMPLETED	0	2026-09-19 23:33:25.178	15m 40s	15m 37s	164.9%	4.7 MB	18.2 MB	33.2 GB	18 GB
